epiweek,location_name,location,state,hosp-value,hosp-weekly_rate,body_temperature,braun_thermoscan,break_a_fever,bronchitis,cold_and_flu,cold_or_flu,cold_versus_flu,do_i_have_the_flu,duration_of_flu,ear_thermometer,early_flu_symptoms,fever_cough,fever_reducer,fevers,flu,flu_and_pregnancy,flu_complications,flu_contagious,flu_contagious_period,flu_cough,flu_duration,flu_fever,flu_headache,flu_in_children,flu_incubation,flu_medicine,flu_or_cold,flu_remedies,flu_report,flu_test,flu_treatment,flu_treatments,flu_versus_cold,high_fever,how_long_contagious,how_long_does_flu_last,how_long_does_the_flu_last,how_long_does_the_flu_last_,how_long_is_flu_contagious,how_long_is_the_flu_contagious,how_to_get_rid_of_the_flu,how_to_reduce_a_fever,how_to_treat_flu,how_to_treat_the_flu,human_temperature,i_have_the_flu,incubation_period_for_flu,incubation_period_for_the_flu,influenza,influenza_a,influenza_a_and_b,influenza_incubation_period,influenza_symptoms,influenza_type_a,is_flu_contagious,is_the_flu_contagious,low_body,medicine_for_flu,medicine_for_the_flu,normal_body,normal_body_temperature,oscillococcinum,over_the_counter_flu_medicine,pneumonia,reduce_fever,signs_of_flu,signs_of_the_flu,sinus,sinus_infections,symptoms_of_bronchitis,symptoms_of_flu,symptoms_of_pneumonia,symptoms_of_the_flu,taking_temperature,the_flu,the_flu_virus,thermoscan,treating_the_flu,treatment_for_flu,tussin,tussionex,type_a_influenza,upper_respiratory,walking_pneumonia,weather_march,what_to_do_if_you_have_the_flu,issue,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili,season
202216,Alaska,2,AK,2,0.281125514,0,0,0,46,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,75,60,4040,13,,,,,,,1.48515,1.48515,2021/2022
202217,Alaska,2,AK,1,0.140562757,0,0,0,44,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,74,40,3684,12,,,,,,,1.08578,1.08578,2021/2022
202218,Alaska,2,AK,6,0.843376542,0,0,0,48,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,73,54,3867,12,,,,,,,1.39643,1.39643,2021/2022
202219,Alaska,2,AK,3,0.421688271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,77,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,202339,72,68,4015,12,,,,,,,1.69365,1.69365,2021/2022
202220,Alaska,2,AK,18,2.530129627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,71,76,4335,12,,,,,,,1.75317,1.75317,2021/2022
202221,Alaska,2,AK,4,0.562251028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,70,91,4310,12,,,,,,,2.11137,2.11137,offseason
202222,Alaska,2,AK,2,0.281125514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,69,70,4279,12,,,,,,,1.6359,1.6359,offseason
202223,Alaska,2,AK,6,0.843376542,0,0,0,0,86,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,68,53,4198,12,,,,,,,1.26251,1.26251,offseason
202224,Alaska,2,AK,1,0.140562757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,67,1,371,1,,,,,,,0.269542,0.269542,offseason
202225,Alaska,2,AK,3,0.421688271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,66,32,4321,12,,,,,,,0.740569,0.740569,offseason
202226,Alaska,2,AK,2,0.281125514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,65,0,386,1,,,,,,,0,0,offseason
202227,Alaska,2,AK,3,0.421688271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,64,26,4226,12,,,,,,,0.615239,0.615239,offseason
202228,Alaska,2,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,63,28,4249,12,,,,,,,0.658979,0.658979,offseason
202229,Alaska,2,AK,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,62,60,4338,12,,,,,,,1.38313,1.38313,offseason
202230,Alaska,2,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,61,50,4495,12,,,,,,,1.11235,1.11235,offseason
202231,Alaska,2,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,60,27,4280,12,,,,,,,0.630841,0.630841,offseason
202232,Alaska,2,AK,1,0.140562757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,59,47,4140,12,,,,,,,1.13527,1.13527,offseason
202233,Alaska,2,AK,1,0.140562757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,58,46,4090,12,,,,,,,1.12469,1.12469,offseason
202234,Alaska,2,AK,1,0.140562757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,202339,57,65,4167,12,,,,,,,1.55988,1.55988,offseason
202235,Alaska,2,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,56,1,341,1,,,,,,,0.293255,0.293255,offseason
202236,Alaska,2,AK,5,0.702813785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,55,64,4242,12,,,,,,,1.50872,1.50872,offseason
202237,Alaska,2,AK,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,54,43,4040,12,,,,,,,1.06436,1.06436,offseason
202238,Alaska,2,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,53,59,3971,12,,,,,,,1.48577,1.48577,offseason
202239,Alaska,2,AK,2,0.281125514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202339,52,47,4002,12,,,,,,,1.17441,1.17441,offseason
202240,Alaska,2,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202439,103,54,3994,12,,,,,,,1.35203,1.35203,2022/2023
202241,Alaska,2,AK,5,0.702813785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202439,102,91,3638,12,,,,,,,2.50137,2.50137,2022/2023
202242,Alaska,2,AK,1,0.140562757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,53,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,202439,101,82,4089,12,,,,,,,2.00538,2.00538,2022/2023
202243,Alaska,2,AK,11,1.546190328,61,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202439,100,76,4080,12,,,,,,,1.86275,1.86275,2022/2023
202244,Alaska,2,AK,15,2.108441356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202439,99,75,3855,12,,,,,,,1.94553,1.94553,2022/2023
202245,Alaska,2,AK,14,1.967878599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,202439,98,129,4325,12,,,,,,,2.98266,2.98266,2022/2023
202246,Alaska,2,AK,38,5.341384768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,36,0,0,0,0,71,0,0,0,0,0,0,0,0,0,40,0,0,0,87,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,202439,97,143,4418,12,,,,,,,3.23676,3.23676,2022/2023
202247,Alaska,2,AK,69,9.698830237,0,0,0,60,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,55,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,73,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,202439,96,164,4388,12,,,,,,,3.73747,3.73747,2022/2023
202248,Alaska,2,AK,53,7.449826124,0,0,0,74,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,75,0,0,0,0,0,0,21,100,0,0,0,0,0,0,0,0,0,0,202439,95,172,4395,12,,,,,,,3.91354,3.91354,2022/2023
202249,Alaska,2,AK,73,10.26108126,0,0,0,53,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,59,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,78,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,202439,94,156,4155,12,,,,,,,3.75451,3.75451,2022/2023
202250,Alaska,2,AK,51,7.16870061,0,0,0,80,88,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,56,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,97,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,202439,93,134,3387,12,,,,,,,3.9563,3.9563,2022/2023
202251,Alaska,2,AK,43,6.044198553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,78,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,202439,92,83,3772,12,,,,,,,2.20042,2.20042,2022/2023
202252,Alaska,2,AK,43,6.044198553,0,0,0,56,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,73,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,202439,91,105,4008,12,,,,,,,2.61976,2.61976,2022/2023
202301,Alaska,2,AK,32,4.498008226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202439,90,72,3940,12,,,,,,,1.82741,1.82741,2022/2023
202302,Alaska,2,AK,7,0.983939299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,202439,89,51,3652,12,,,,,,,1.3965,1.3965,2022/2023
202303,Alaska,2,AK,7,0.983939299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202439,88,53,3781,12,,,,,,,1.40175,1.40175,2022/2023
202304,Alaska,2,AK,5,0.702813785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,33,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,202439,87,36,3807,12,,,,,,,0.945626,0.945626,2022/2023
202305,Alaska,2,AK,3,0.421688271,0,0,0,50,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202439,86,54,3815,12,,,,,,,1.41547,1.41547,2022/2023
202306,Alaska,2,AK,1,0.140562757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202439,85,54,3010,12,,,,,,,1.79402,1.79402,2022/2023
202307,Alaska,2,AK,2,0.281125514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202439,84,47,3593,12,,,,,,,1.3081,1.3081,2022/2023
